,time,delta,seconds_remaining,replicated_seconds_remaining,is_overtime,ball_has_been_hit
105,8.779471397399902,0.03600059822201729,300,3.0,,
106,8.815468788146973,0.03600060194730759,300,3.0,,
107,8.85146713256836,0.03600040078163147,300,3.0,,
108,8.88746452331543,0.03600069880485535,300,3.0,,
109,8.923462867736816,0.03600069880485535,300,3.0,,
110,8.959460258483887,0.03600060194730759,300,3.0,,
111,8.995458602905273,0.03600040078163147,300,3.0,,
112,9.032447814941406,0.03698999807238579,300,0.0,,
113,9.068446159362793,0.03600050136446953,300,0.0,,
114,9.10444450378418,0.03600069880485535,300,0.0,,
115,9.140443801879883,0.03600060194730759,300,0.0,,
116,9.17644214630127,0.036000799387693405,300,0.0,,
117,9.212440490722656,0.036000799387693405,300,0.0,,
118,9.248437881469727,0.03600040078163147,300,0.0,,
119,9.284436225891113,0.03600049763917923,300,0.0,,
