,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z
3165,3297.340087890625,-1210.8699951171875,1095.949951171875,-8446.799926757812,-9890.30029296875,5213.599853515625,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6321791639924575,0.26351494945108145,-1.9868218588941096
3166,3269.199951171875,-1243.8199462890625,1112.8699951171875,-8437.999877929688,-9880.10009765625,4991.600036621094,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6318973516670926,0.15020547103733636,-1.9806707377476354
3167,3241.090087890625,-1276.739990234375,1129.0400390625,-8429.199829101562,-9870.10009765625,4769.800109863281,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6310558885929259,0.03695418861251442,-1.974615225973774
3168,3213.010009765625,-1309.6199951171875,1144.47998046875,-8420.399780273438,-9860.10009765625,4548.2000732421875,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.629663742106928,-0.07618898887897277,-1.9687101356294734
3169,3170.949951171875,-1358.8699951171875,1166.25,-8407.19970703125,-9845.10009765625,4216.300048828125,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6265969278420827,-0.24561221897259916,-1.9603375526447062
3170,3142.949951171875,-1391.6700439453125,1179.8499755859375,-8398.400268554688,-9835.10009765625,3995.2999877929688,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6239279936622094,-0.3583201650663119,-1.9551545902209413
3171,3114.969970703125,-1424.4300537109375,1192.7099609375,-8389.600219726562,-9825.10009765625,3774.5001220703125,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6208032856348134,-0.4707713159574704,-1.950399437192696
3172,3087.02001953125,-1457.1600341796875,1204.8299560546875,-8380.800170898438,-9815.10009765625,3553.900146484375,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6172580820266607,-0.5829215985574853,-1.9461237586819855
3173,3059.10009765625,-1489.8599853515625,1216.219970703125,-8372.000122070312,-9805.10009765625,3333.5000610351562,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6133542999680187,-0.6947721046630645,-1.9423523768922382
3174,3031.2099609375,-1522.52001953125,1226.8699951171875,-8363.200073242188,-9795.10009765625,3113.3999633789062,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6091496150804774,-0.8062871464499779,-1.939147622906546
