,ping,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,ball_cam,boost,boost_active,jump_active,dodge_active,double_jump_active
2424,10.0,-2243.830078125,1212.489990234375,16.989999771118164,-16513.699951171875,14995.0,4.600000083446503,0.19999999552965164,-0.09999999776482582,-6.600000262260437,255.0,128.0,False,0.009600338834422096,2.40348926970989,4.0845604200251435e-05,True,133.0,False,18,18,False
2425,10.0,-2339.110107421875,1300.989990234375,16.989999771118164,-16112.099609375,15385.6005859375,4.600000083446503,2.3999999463558197,-2.3999999463558197,-1076.9999694824219,255.0,0.0,False,0.009591622159362087,2.370957540035427,-0.00013530892197784812,True,133.0,False,18,18,False
2426,10.0,-2339.110107421875,1300.989990234375,16.989999771118164,-16112.099609375,15385.6005859375,4.600000083446503,2.3999999463558197,-2.3999999463558197,-1076.9999694824219,255.0,0.0,False,0.009591622159362087,2.370957540035427,-0.00013530892197784812,True,133.0,False,18,18,False
2427,10.0,-2339.110107421875,1300.989990234375,16.989999771118164,-16112.099609375,15385.6005859375,4.600000083446503,2.3999999463558197,-2.3999999463558197,-1076.9999694824219,255.0,0.0,False,0.009591622159362087,2.370957540035427,-0.00013530892197784812,True,133.0,False,18,18,False
2428,10.0,-2479.469970703125,1448.510009765625,16.989999771118164,-14445.400390625,16799.100341796875,4.799999892711639,-1.0000000149011612,1.1999999731779099,-1686.9000244140625,255.0,27.0,False,0.00959681130496822,2.2317317629484417,-0.00016002749770204625,True,133.0,False,18,18,False
2429,10.0,-2479.469970703125,1448.510009765625,16.989999771118164,-14445.400390625,16799.100341796875,4.799999892711639,-1.0000000149011612,1.1999999731779099,-1686.9000244140625,255.0,27.0,False,0.00959681130496822,2.2317317629484417,-0.00016002749770204625,True,133.0,False,18,18,False
2430,10.0,-2571.02001953125,1564.0,16.989999771118164,-13258.499755859375,17658.00048828125,4.600000083446503,-2.5999999046325684,3.8999998569488525,-319.89999771118164,255.0,206.0,,0.00959578668071371,2.1674971923294235,0.00012534494810555863,True,133.0,False,18,18,False
2431,10.0,-2571.02001953125,1564.0,16.989999771118164,-13258.499755859375,17658.00048828125,4.600000083446503,-2.5999999046325684,3.8999998569488525,-319.89999771118164,255.0,206.0,,0.00959578668071371,2.1674971923294235,0.00012534494810555863,True,133.0,False,18,18,False
2432,10.0,-2680.5400390625,1711.6700439453125,16.989999771118164,-13324.300537109375,17566.199951171875,4.699999988079071,0.29999999329447746,-0.5999999865889549,1318.5000610351562,255.0,252.0,,0.00958311737686665,2.2304728316625537,0.00032119339642291755,True,133.0,False,18,18,False
2433,10.0,-2680.5400390625,1711.6700439453125,16.989999771118164,-13324.300537109375,17566.199951171875,4.699999988079071,0.29999999329447746,-0.5999999865889549,1318.5000610351562,255.0,252.0,,0.00958311737686665,2.2304728316625537,0.00032119339642291755,True,133.0,False,18,18,False
